review_text,majority_vote
"Bersyukur ada aplikasi ini sangat membantu jika sedang ada masalah kesehatan dan membeli resep obat juga mudah, bisa diantar ke rumah",happiness
Respon baik dan cepat,happiness
Ramah dokternya workt it bgt,happiness
Respon cepat dan tepat,happiness
"sejak aja range waktunya, percakapan di tengah jalan jadi terputus. belum lagi dokternya yg slowrespond. jujur ini merugikan bgt sh. better ketemu dokter langsung",sadness
"Cukup membantu, apalagi bisa connect/ terhubung dengan Asuransiku, berobat jadi lebih mudah, cuma kita hanya bisa bercerita melalui chat saja, tidak diperiksa secara langsung",happiness
Sangat membantu dikala dokter libur,happiness
"Sangat membantu, apalagi buat anak rantau/yang tinggal sendiri jika sakit bisa tetap berobat online.",happiness
Super mengecewakan terutama bagian chat pusat bantuan. Lama juga pengemasan dan pengirimannya. Ga lagi deh langganan di sini. Bye!,sadness
1. Pembayaran tidak terverifilasi automatis...harus di konfirmasi oleh pasien (parah) 2. Proses check and richeck ada antrian (gila bener) 3. Nulis alamat pasien di paket salah..(mampus aja lu) jadi grab nya muter cari alamat yg benernya 4. Aplikasinya masih payah tidak terintegrasi dgn ekosistim terdekat 5. Pasien di jakarta timur..obat datang dari bekasi jauh banget emang gak ada apotik deket pasien yg sudah di itegrasikan,anger
"Aplikasi ini sangat membantu, lebih efisien ketimbang ke dokter off line untuk penyakit ringan",anger
suka bgttt,happiness
Bagus banget ini halodok membantu saat sedang sakit tidak perlu lagi datang ke rumah sakit terimakasih halodoc,happiness
saya tidak bisa update halodoc,sadness
sejauh ini lumayan membantu,happiness
"PESAN OBAT , SALDO TERPOTONG TAPI CEK DI APLIKASI TIDAK ADA STATUS PENGIRIMAN ATAU PEMBATALAN SAMA SEKALI ! . KALO MEMANG GAGAL REFUND LANGSUNG DONG UANGNYA , BAGAIMANA SAYA BISA BELI DI TEMPAT LAIN KALO UANG DI TAHAN ! . SEMENTARA SAYA BUTUH URGENT ITU OBATT !!!!",anger
Aplikasi yang bagus untuk membeli produk kesehatan original dengan exspayer yang sesuai dan kolsultasi dengan ahli bermacam spesialis penyakit. Kelemahan aplikasi ini jika obat yang kita pesan dan telah kita bayar dengan cara transfer bank JIKA OBAT TIDAK ADA dana refunt kita tertahan di saldo holodoc. Tidak langsung kembali ke rekening kita .,sadness
